Product Type: Litetrack LR
Product ID: 80348
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
6/6/2021 9:20:33 PM,38.5639898,-109.5393047,1244.79,30,35.5,0.0,2,5,GPS Schedule
6/6/2021 9:30:18 PM,38.5640318,-109.5392248,1227.70,18,38.5,0.0,1.8,4,GPS Schedule
6/6/2021 9:40:33 PM,38.5640197,-109.5393385,1240.63,33,41.5,0.0,1.6,6,GPS Schedule
6/6/2021 9:50:12 PM,38.5640232,-109.5393462,1238.53,11,43.0,0.0,3.2,5,GPS Schedule
6/6/2021 10:00:01 PM,38.5640493,-109.5393486,1247.72,1,44.5,0.0,1.6,6,GPS Schedule
6/6/2021 10:10:01 PM,38.5640339,-109.5393316,1240.25,1,45.5,0.0,1.6,6,GPS Schedule
6/6/2021 10:20:01 PM,38.5640238,-109.5393113,1230.42,1,46.0,0.0,1.6,6,GPS Schedule
6/6/2021 10:30:02 PM,38.5640304,-109.5393392,1237.53,2,48.0,0.0,9.2,5,GPS Schedule
6/6/2021 10:40:04 PM,38.5643113,-109.5393403,1235.30,4,49.0,0.0,1.6,6,GPS Schedule
6/6/2021 10:50:02 PM,38.5640129,-109.5393246,1236.76,2,49.0,0.0,5.8,5,GPS Schedule
6/6/2021 11:00:01 PM,38.5641948,-109.5393689,1227.47,1,49.5,0.0,3.4,5,GPS Schedule
6/6/2021 11:10:02 PM,38.5641048,-109.5393037,1240.00,2,49.0,0.0,2.6,5,GPS Schedule
6/6/2021 11:20:04 PM,38.5640293,-109.5392705,1236.08,4,49.0,0.0,2.8,4,GPS Schedule
6/6/2021 11:30:35 PM,38.5640305,-109.5393169,1240.73,34,48.5,0.0,1.2,8,GPS Schedule
6/6/2021 11:40:01 PM,38.5640557,-109.5392437,1246.84,1,48.0,0.0,1.4,7,GPS Schedule
6/6/2021 11:50:01 PM,38.5639433,-109.5392758,1219.17,1,47.5,0.0,1.2,8,GPS Schedule
6/7/2021 12:00:01 AM,38.5639608,-109.5392751,1224.76,1,46.5,0.0,1.2,8,GPS Schedule
6/7/2021 12:10:01 AM,38.5639711,-109.5392437,1239.36,1,46.5,0.0,2,5,GPS Schedule
6/7/2021 12:20:04 AM,38.5640552,-109.5393023,1243.70,4,45.5,0.0,1.2,8,GPS Schedule
6/7/2021 12:30:05 AM,38.5639248,-109.5393016,1236.19,4,45.0,0.0,1.8,6,GPS Schedule
6/7/2021 12:40:02 AM,38.5641138,-109.5392705,1243.56,2,44.5,0.0,1,8,GPS Schedule
6/7/2021 12:50:02 AM,38.5638917,-109.5392238,1242.40,1,43.0,0.0,7.6,5,GPS Schedule
6/7/2021 1:00:04 AM,38.5652570,-109.5395499,1260.81,4,41.5,0.0,3.2,6,GPS Schedule
6/7/2021 1:10:11 AM,38.5650990,-109.5395143,1242.70,10,40.5,0.0,1,6,GPS Schedule
6/7/2021 1:20:02 AM,38.5642125,-109.5392482,1255.48,2,39.5,0.0,6,4,GPS Schedule
6/7/2021 1:30:34 AM,38.5640360,-109.5393221,1231.93,34,38.5,0.0,1.4,7,GPS Schedule
6/7/2021 1:40:18 AM,38.5640689,-109.5393608,1241.79,17,37.5,0.0,3.4,5,GPS Schedule
6/7/2021 1:50:01 AM,38.5640784,-109.5392845,1243.68,1,37.0,0.0,1.8,6,GPS Schedule
6/7/2021 2:00:03 AM,38.5640904,-109.5393023,1246.81,2,36.5,0.0,1.8,6,GPS Schedule
6/7/2021 2:10:01 AM,38.5640286,-109.5393961,1223.34,1,35.5,0.0,2.6,5,GPS Schedule
6/7/2021 2:20:01 AM,38.5639887,-109.5392737,1235.32,1,34.5,0.0,1.8,5,GPS Schedule
6/7/2021 2:30:02 AM,38.5640834,-109.5393176,1241.37,2,34.0,0.0,1.6,6,GPS Schedule
6/7/2021 2:40:02 AM,38.5640021,-109.5393615,1231.84,1,33.5,0.0,1.4,6,GPS Schedule
6/7/2021 2:50:01 AM,38.5641549,-109.5393455,1212.16,1,32.5,0.0,1.6,5,GPS Schedule
6/7/2021 3:00:01 AM,38.5637972,-109.5392974,1249.16,1,32.5,0.0,1.4,5,GPS Schedule
6/7/2021 3:10:02 AM,38.5640630,-109.5392981,1226.57,2,31.5,0.0,1.4,5,GPS Schedule
6/7/2021 3:20:07 AM,38.5639903,-109.5392768,1238.30,6,31.0,0.0,1.4,5,GPS Schedule
6/7/2021 3:30:02 AM,38.5639463,-109.5392398,1196.30,2,30.5,0.0,1.4,5,GPS Schedule
6/7/2021 3:40:35 AM,38.5640073,-109.5393347,1240.74,34,30.5,0.0,1.2,6,GPS Schedule
6/7/2021 3:50:02 AM,38.5641841,-109.5392245,1264.24,2,30.0,0.0,1.6,5,GPS Schedule
6/7/2021 4:00:05 AM,38.5639424,-109.5393092,1235.34,4,29.0,0.0,1.4,6,GPS Schedule
6/7/2021 4:10:02 AM,38.5639891,-109.5393619,1249.70,2,29.0,0.0,2,5,GPS Schedule
6/7/2021 4:20:05 AM,38.5640806,-109.5393058,1225.72,4,28.5,0.0,2.2,5,GPS Schedule
6/7/2021 4:30:02 AM,38.5639871,-109.5392705,1232.33,2,28.0,0.0,2.6,5,GPS Schedule
6/7/2021 4:40:03 AM,38.5638673,-109.5393797,1240.98,3,27.0,0.0,3.2,5,GPS Schedule
6/7/2021 4:50:02 AM,38.5641812,-109.5392350,1245.40,1,27.0,0.0,4,5,GPS Schedule
6/7/2021 5:00:02 AM,38.5642921,-109.5392203,1213.92,2,26.5,0.0,6.6,4,GPS Schedule
6/7/2021 5:10:33 AM,38.5644201,-109.5390700,1276.30,33,26.5,0.0,7.8,5,GPS Schedule
