Product Type: Litetrack LR
Product ID: 80333
Firmware Version: V8.106.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
11/9/2021 3:00:33 AM,38.5378702,-109.5105505,1347.48,30,22.5,1.6,6,GPS Schedule
11/9/2021 3:10:24 AM,38.5377517,-109.5106225,1383.25,23,20.5,1.8,6,GPS Schedule
11/9/2021 3:20:03 AM,38.5378592,-109.5105485,1358.63,2,18.5,1.8,6,GPS Schedule
11/9/2021 3:30:06 AM,38.5378542,-109.5104624,1373.78,5,17.5,2,5,GPS Schedule
11/9/2021 3:40:02 AM,38.5379035,-109.5105287,1307.52,2,17.5,2,5,GPS Schedule
11/9/2021 3:50:02 AM,38.5377704,-109.5106203,1354.97,2,16.5,2,5,GPS Schedule
11/9/2021 4:00:35 AM,38.5379007,-109.5105118,1343.22,34,16.0,1.6,5,GPS Schedule
11/9/2021 4:10:04 AM,38.5380294,-109.5105010,1354.17,3,14.5,1.8,5,GPS Schedule
11/9/2021 4:20:04 AM,38.5378705,-109.5105142,1347.43,3,14.0,2,5,GPS Schedule
11/9/2021 4:30:04 AM,38.5379991,-109.5105104,1360.00,3,13.5,2.4,5,GPS Schedule
11/9/2021 4:40:06 AM,38.5380083,-109.5105316,1342.67,5,12.5,2.4,5,GPS Schedule
11/9/2021 4:50:06 AM,38.5378876,-109.5105721,1349.87,5,12.0,2.4,5,GPS Schedule
11/9/2021 5:00:02 AM,38.5380383,-109.5103893,1328.85,2,11.5,3.4,4,GPS Schedule
11/9/2021 5:10:33 AM,38.5379106,-109.5105766,1346.66,33,11.5,2.4,5,GPS Schedule
11/9/2021 5:20:13 AM,38.5378736,-109.5105651,1347.00,12,11.0,2.4,5,GPS Schedule
11/9/2021 5:30:04 AM,38.5378637,-109.5106471,1354.79,3,10.5,2.4,5,GPS Schedule
11/9/2021 5:40:01 AM,38.5379255,-109.5105125,1341.37,1,10.5,2.4,5,GPS Schedule
11/9/2021 5:50:01 AM,38.5379230,-109.5103584,1351.34,1,10.5,2.4,5,GPS Schedule
11/9/2021 6:00:01 AM,38.5378463,-109.5105795,1366.85,1,10.5,2.2,5,GPS Schedule
11/9/2021 6:10:02 AM,38.5378569,-109.5103721,1371.80,2,11.0,2,5,GPS Schedule
11/9/2021 6:20:02 AM,38.5379029,-109.5105177,1330.08,2,10.0,1.8,5,GPS Schedule
11/9/2021 6:30:05 AM,38.5378753,-109.5105460,1353.18,5,9.5,1.6,5,GPS Schedule
11/9/2021 6:40:33 AM,38.5379088,-109.5105498,1354.93,33,9.5,1,7,GPS Schedule
11/9/2021 6:50:16 AM,38.5378796,-109.5105118,1341.35,16,8.5,1.8,5,GPS Schedule
11/9/2021 7:00:12 AM,38.5378868,-109.5104978,1338.73,12,8.0,1.2,6,GPS Schedule
11/9/2021 7:10:03 AM,38.5379257,-109.5104985,1338.13,2,7.5,1.2,6,GPS Schedule
11/9/2021 7:20:02 AM,38.5378963,-109.5105223,1366.30,2,7.0,2.2,5,GPS Schedule
11/9/2021 7:30:33 AM,38.5378827,-109.5105953,1384.26,33,7.5,1.4,5,GPS Schedule
11/9/2021 7:40:11 AM,38.5379285,-109.5106029,1385.90,11,6.5,2.4,5,GPS Schedule
11/9/2021 7:50:12 AM,38.5379160,-109.5105582,1349.12,12,6.5,2.4,4,GPS Schedule
11/9/2021 8:00:33 AM,38.5378934,-109.5105257,1345.84,33,6.5,1,7,GPS Schedule
11/9/2021 8:10:35 AM,38.5378926,-109.5105899,1352.37,34,6.0,1,7,GPS Schedule
11/9/2021 8:20:01 AM,38.5378622,-109.5105910,1364.64,1,5.5,1.2,6,GPS Schedule
11/9/2021 8:30:03 AM,38.5378841,-109.5105422,1355.16,2,5.5,1.2,6,GPS Schedule
11/9/2021 8:40:05 AM,38.5378338,-109.5105674,1373.41,4,4.5,1,7,GPS Schedule
11/9/2021 8:50:01 AM,38.5378407,-109.5105111,1341.95,1,4.5,1.4,5,GPS Schedule
