CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
040653,22,074,00,00,00,-02,+38.07069,-109.56564,00.9,08,038,3,2022-03-15
040653,22,074,01,00,00,-03,+38.07065,-109.56560,01.1,08,038,3,2022-03-15
040653,22,074,02,00,00,-03,+38.07066,-109.56562,00.8,09,038,3,2022-03-15
040653,22,074,03,00,00,-04,+38.07056,-109.56569,01.4,07,038,3,2022-03-15
040653,22,074,04,00,00,-05,+38.07069,-109.56566,00.9,09,038,3,2022-03-15
040653,22,074,05,00,00,-05,+38.07074,-109.56566,01.1,08,038,3,2022-03-15
040653,22,074,08,01,02,+01,+38.07071,-109.56566,00.9,08,038,3,2022-03-15
040653,22,074,09,00,30,+15,+38.07276,-109.56438,00.9,08,038,3,2022-03-15
040653,22,074,10,00,50,+22,+38.07315,-109.56455,00.9,08,038,3,2022-03-15
040653,22,074,11,00,46,+25,+38.07324,-109.56455,00.9,08,038,3,2022-03-15
040653,22,074,12,00,30,+23,+38.07324,-109.56411,00.8,10,038,3,2022-03-15
040653,22,074,13,00,74,+31,+38.07317,-109.56427,00.9,09,038,3,2022-03-15
040653,22,074,14,00,14,+30,+38.07323,-109.56466,00.8,09,037,3,2022-03-15
040653,22,074,15,00,52,+33,+38.07322,-109.56409,00.8,09,038,3,2022-03-15
040653,22,074,16,00,62,+34,+38.07331,-109.56429,01.1,07,038,3,2022-03-15
040653,22,074,17,00,18,+30,+38.07317,-109.56409,00.9,08,038,3,2022-03-15
040653,22,074,18,00,44,+18,+38.07317,-109.56406,01.1,07,038,3,2022-03-15
040653,22,074,19,00,72,+13,+38.07322,-109.56405,01.3,06,038,3,2022-03-15
040653,22,074,20,00,34,+11,+38.07319,-109.56413,00.8,09,038,3,2022-03-15
040653,22,074,21,00,04,+07,+38.07315,-109.56415,00.7,10,038,3,2022-03-15
040653,22,074,21,50,08,+07,+38.07319,-109.56419,01.2,07,039,3,2022-03-15
040653,22,074,22,00,00,+09,+38.07315,-109.56417,01.0,08,039,3,2022-03-15
040653,22,074,22,10,04,+09,+38.07316,-109.56417,01.0,08,038,3,2022-03-15
040653,22,074,22,20,02,+08,+38.07316,-109.56417,01.0,08,038,3,2022-03-15
040653,22,074,22,30,04,+08,+38.07315,-109.56417,00.9,08,038,3,2022-03-15
040653,22,074,22,40,04,+07,+38.07313,-109.56417,00.8,09,038,3,2022-03-15
040653,22,074,22,50,08,+07,+38.07313,-109.56419,00.9,08,038,3,2022-03-15
040653,22,074,23,00,08,+07,+38.07313,-109.56417,00.8,09,038,3,2022-03-15
040653,22,074,23,10,02,+07,+38.07313,-109.56417,00.8,09,038,3,2022-03-15
040653,22,074,23,20,10,+07,+38.07314,-109.56417,00.8,08,038,3,2022-03-15
040653,22,074,23,30,08,+07,+38.07314,-109.56417,00.8,08,038,3,2022-03-15
040653,22,074,23,40,36,+07,+38.07323,-109.56404,00.8,08,039,3,2022-03-15
