Breed,SN,Ear tag,Deployment notes,Same cow as last deployment?,Calved,Spring Weight
Angus,80341,13,None,Yes,Y,1200
Angus,80335,Red 23,,Unknown,Y,1200
Angus,80343,Blue 102,"None, We had a blue 104 last time, assuming transcription error?",Yes,Y,1200
Angus,80346,No Number Red,"Have two no-number red tags, one was probably 23",Unknown,Y,1200
Angus,80333,16,Pink tag,Yes,Y,1200
Angus,80345,No Number Red,"Have two no-number red tags, one was probably 23.  Keep an eye on data, no data in spring",Unknown,Y,1100
Criollo,80332,34,"Carlatta (previously had tag #5 for some reason?).  Keep an eye on data, no data in spring",Yes,Y,900
Criollo,80348,43,,Yes,Y,900
Criollo,80338,82,Dolores,Yes,Y,900
Criollo,80342,14,Wetta,Yes,Y,900
Criollo,80344,03,Caveron,Yes,Y,900
Criollo,80349,38,,Yes,Y,900
Criollo,80351,05,Dotsero,Yes,Y,900
