tag no,breed,collar no,dates active,download_start,download_end,dates needed
Y50,criollo,80350,x-jun 2022,11/8/2021,11/10/2021,none
G5,angus,80334,x-mar 2022,11/9/2021,3/28/2022,none
P16,angus,80333,x-jun 2022,11/9/2021,5/10/2021,none
Y28,criollo,80339,x-mar 2022,11/9/2021,3/9/2022,none
Y31,criollo,80338,x-mar 2022,11/9/2021,3/28/2022,none
Y33,angus,80337,x-mar 2022,11/9/2021,3/28/2022,none
Y35,criollo,80348,x-mar 2022,11/9/2021,3/26/2022,none
Y38,angus,80335,x-mar 2022,11/9/2021,2/20/2022,none
Y42,angus,80345,x-mar 2022,11/9/2021,3/28/2022,none
Y44,criollo,80342,x-jun 2022,11/9/2021,11/11/2021,none
Y47,criollo,80347,x-apr 2022,11/9/2021,1/4/2022,none
Y49,criollo,80332,x-mar 2022,11/9/2021,11/17/2021,none
Y77,angus,80343,x-mar 2022,11/9/2021,3/28/2022,none
Y79,criollo,80349,x-mar 2022,11/9/2021,3/28/2022,none
Y84,angus,80341,x-mar 2022,11/9/2021,1/29/2022,none
Y86,angus,80346,x-jun 2022,11/9/2021,4/21/2022,none
G5,angus,39904,mar 2022 - ,3/15/2022,10/21/2022,none
R16,angus,40649,mar-jun 2022,3/15/2022,6/13/2022,none
R18,angus,42544,mar 2022 - ,3/15/2022,10/31/2022,none
W01,criollo,41906,mar 2022 - ,3/15/2022,8/17/2022,none
Y17,criollo,42122,mar 2022 - ,3/15/2022,5/27/2022,none
Y26,criollo,42205,mar-oct 2022,3/15/2022,10/29/2022,none
Y27,criollo,42291,mar-oct 2022,3/15/2022,10/29/2022,none
Y28,criollo,42357,mar-oct 2022,3/15/2022,10/29/2022,none
Y29,criollo,40008,mar-oct 2022,3/15/2022,9/16/2022,none
Y30,criollo,40061,mar-oct 2022,3/15/2022,4/15/2022,none
Y31,criollo,42087,mar-oct 2022,3/15/2022,10/29/2022,none
Y32,angus,42106,mar-jun 2022,3/15/2022,4/19/2022,none
Y33,angus,42265,mar-oct 2022,3/15/2022,10/29/2022,none
Y34,angus,42154,mar-oct 2022,3/15/2022,10/29/2022,none
Y35,criollo,42508,mar-oct 2022,3/15/2022,10/29/2022,none
Y36,criollo,40447,mar-oct 2022,3/15/2022,10/30/2022,none
Y37,angus,42824,mar-oct 2022,3/15/2022,10/29/2022,none
Y38,angus,42119,mar-jun 2022,3/15/2022,4/21/2022,none
Y39,criollo,40107,mar-oct 2022,3/15/2022,10/14/2022,none
Y40,angus,39988,mar-jun 2022,3/15/2022,5/24/2022,none
Y41,criollo,42676,mar-oct 2022,3/15/2022,7/10/2022,none
Y42,angus,40546,mar-oct 2022,3/15/2022,10/29/2022,none
Y43,criollo,40653,mar-oct 2022,3/15/2022,7/18/2022,none
Y45,angus,42125,mar-oct 2022,3/15/2022,10/29/2022,none
Y46,angus,42358,mar-oct 2022,3/15/2022,10/29/2022,none
Y48,criollo,42141,mar-oct 2022,3/15/2022,7/23/2022,none
Y49,criollo,42820,mar-oct 2022,3/15/2022,10/29/2022,none
Y76,angus,40355,mar-oct 2022,3/15/2022,9/22/2022,none
Y77,angus,42268,mar-oct 2022,3/15/2022,4/9/2022,none
Y78,angus,40654,mar-oct 2022,3/15/2022,10/29/2022,none
Y79,criollo,40395,mar-oct 2022,3/15/2022,10/30/2022,none
Y80,criollo,40151,mar-apr 2022,3/15/2022,3/24/2022,none
Y81,criollo,42668,mar-oct 2022,3/15/2022,10/29/2022,none
Y82,angus,40096,mar-oct 2022,3/15/2022,10/30/2022,none
Y83,angus,42115,mar-oct 2022,3/15/2022,10/25/2022,none
Y84,angus,44663,mar-oct 2022,3/15/2022,10/29/2022,none
Y85,angus,42292,mar-jun 2022,3/15/2022,5/19/2022,none
