Serial No,VHF Freq,status,brand
39860,150.009,unusable,ats
39877,150.229,unusable,ats
39907,148.489,active,ats
39917,151.869,active,ats
39922,151.939,active,ats
39932,148.019,unknown,ats
39935,148.049,active,ats
39956,148.589,unknown,ats
40122,148.11,unknown,ats
40125,,active,ats
40141,148.469,unusable,ats
40179,148.109,active,ats
40188,149.309,unusable,ats
40209,149.739,active,ats
40242,,ready,ats
40249,150.159,active,ats
40250,150.17,unknown,ats
40295,150.199,unknown,ats
40300,148,active,ats
40306,148.079,active,ats
40353,148.799,unusable,ats
40367,148.129,active,ats
40369,148.159,unknown,ats
40437,149.489,active,ats
40498,148.52,unknown,ats
40514,149.48,unusable,ats
40523,148.679,unusable,ats
40618,150.349,unknown,ats
40631,149.14,unusable,ats
40639,149.32,unusable,ats
40657,150.48,unknown,ats
40922,152.149,active,ats
41269,154.539,unknown,ats
41902,148.73,unknown,ats
41905,148.759,ready,ats
41905.1,148.029,unknown,ats
42023,,unusable,ats
42027,151.049,active,ats
42042,151.439,unknown,ats
42158,148.09,unusable,ats
42171,148.339,unknown,ats
42176,148.399,unusable,ats
42218,,unusable,ats
42501,152.209,unusable,ats
42674,149.219,unknown,ats
42705,151.089,active,ats
42755,151.829,active,ats
44856,149.81,active,ats
44922,152.4301,ready,ats
45089,149.15,active,ats
45523,148.91,active,ats
45524,148.92,ready,ats
45691,150.45,unknown,ats
45838,150.15,unusable,ats
47498,148.23,active,ats
48073,151.73,unknown,ats
51000,149.43,active,ats
39867,150.099,unknown,ats
39898,148.199,unusable,ats
39904,148.349,retired,ats
39936,148.079,unusable,ats
39945,148.209,retired,ats
39953,148.539,retired,ats
39965,149.019,unknown,ats
39971,148.309,retired,ats
39972,148.319,retired,ats
39988,149.139,retired,ats
40008,149.429,retired,ats
40022,150.059,unusable,ats
40033,149.649,retired,ats
40040,149.79,unusable,ats
40061,148.47,retired,ats
40067,148.829,unknown,ats
40096,149.73,retired,ats
40098,148.179,retired,ats
40101,148.209,unusable,ats
40107,148.319,retired,ats
40142,148.529,unusable,ats
40147,149.57,retired,ats
40176,147.839,retired,ats
40192,149.169,unusable,ats
40203,149.599,retired,ats
40207,149.709,unusable,ats
40208,149.719,unusable,ats
40355,148.039,retired,ats
40395,148.619,retired,ats
40447,148.069,retired,ats
40491,149.029,unknown,ats
40497,148.509,unknown,ats
40518,149.58,unknown,ats
40543,148.319,unknown,ats
40546,148.519,retired,ats
40561,150.209,unusable,ats
40630,149.019,ready,ats
40632,149.15,unknown,ats
40649,150.399,retired,ats
40653,150.439,retired,ats
40654,150.45,retired,ats
41906,148.77,retired,ats
42087,150.44,retired,ats
42106,148.479,retired,ats
42115,148.699,retired,ats
42119,149.039,retired,ats
42122,149.079,retired,ats
42125,149.129,retired,ats
42141,149.369,retired,ats
42152,149709,unknown,ats
42154,148.049,retired,ats
42177,148.41,retired,ats
42178,148.419,ready,ats
42205,148.66,retired,ats
42265,148.169,retired,ats
42268,148.399,retired,ats
42291,151.579,retired,ats
42292,151.589,retired,ats
42357,148.179,retired,ats
42358,148.199,retired,ats
42497,152.169,unusable,ats
42508,152.279,retired,ats
42544,149.029,retired,ats
42668,149.149,retired,ats
42673,149.209,unusable,ats
42676,149.239,retired,ats
42692,149.419,retired,ats
42820,151.549,retired,ats
42824,151.609,retired,ats
44663,149.83,retired,ats
45141,150.04,retired,ats
45221,148.85,retired,ats
45840,150.19,unusable,ats
40151,150.56,retired,ats
39943,148.189,retired,ats
80341,,,lotek
80335,,,lotek
80343,,,lotek
80346,,,lotek
80333,,,lotek
80345,,,lotek
80334,,,lotek
80337,,,lotek
80332,,,lotek
80348,,,lotek
80338,,,lotek
80342,,,lotek
80347,,,lotek
80349,,,lotek
80350,,,lotek
80339,,,lotek
