tag_no,breed,collar_mar22,pedometer_mar22,weight_mar22,BCS_mar22,old_lotek_collar_mar22,notes_mar22,collar_apr22,weight_apr22,BCS_apr22,notes_apr22,collar_jun22,collar_oct22,pedometer_oct22,weight_oct22,BCS_oct22,new_tag,notes_oct22,weight_dec22,BCS_dec22,notes_dec22
Y703,Criollo,42205,90006464,712,4,,,42205,688,5,,,80355,90000050,894,7,Y26,,850,7,
Y153,Criollo,42291,,618,5,,,42291,582,4,,,80345,90006241,830,7,Y27,,800,7,
B,Criollo,42357,90001409,608,4,80339,,42357,598,4,,,80333,90001217,722,7,Y28,,696,7,
Y4,Criollo,40008,90001737,648,5,,,40008,672,5,,,80342,90000188,815,7,Y29,,736,7,
Y30,Criollo,40061,9001761,655,5,,new from Jornada,40061,714,4,new from Jornada,39945,80351,90001761,794,7,Y30,,760,7,
Y82,Criollo,42087,90001653,744,5,80338,,42087,718,4,,,80337,90001408,764,7,Y31,,783,7,
R46,Angus,42106,,996,5,,,42106,1125,4,,39971,80347,90001464,1190,7,Y32,,,,
R9,Angus,42265,90000468,1235,4,80337,,42265,1205,4,,,80338,90006464,1650,7,Y33,pregnant?,1570,7,
R32,Angus,42154,90003820,1215,4,,,42154,1200,4,,,80346,90000557,1280,7,Y34,,,,
Y43,Criollo,42508,,772,5,80348,,42508,758,4,,,80334,90001737,664,6,Y35,,694,7,
Y148,Criollo,40447,,728,5,,,40447,700,4,,,80348,90000099,720,7,Y36,,928,7,
R256,Angus,42824,,1100,5,,,42824,1075,4,,,80344,90004935,1280,7,Y37,,1125,7,
R23,Angus,42119,90000188,1250,5,80335,,42119,1175,4,,45141,80339,90000486,1330,7,Y38,,,,
Y45,Criollo,40107,90004935,760,5,,,40107,686,4,,,80349,90001653,796,7,Y39,,724,7,
R213,Angus,39988,,842,5,,,39988,850,4,,40203,80332,90002578,948,7,Y40,,985,6,
Y115,Criollo,42676,90001161,632,5,,,42676,610,5,,,51000,90001161,744,7,Y41,,750,7,
R5,Angus,40546,90009326,1015,4,80345,,40546,1010,5,,,80341,90001409,1200,7,Y42,,1240,7,
Y68,Criollo,40653,,585,4,,new from Jornada,40653,568,4,new from Jornada,,40367,,686,7,Y43,,678,7,
Y148,Criollo,,,,,80342,,,,,replaced Lotek,40147,42755,,848,7,Y44,,848,7,
R21,Angus,42125,,1100,5,,,42125,856,4,,,80350,90004934,1155,7,Y45,,1250,7,
G1,Angus,42358,90002578,1150,5,,,42358,1005,4,,,80343,90001423,1585,7,Y46,,1585,7,
Y103,Criollo,,,,,80347,,42692,752,4,,,39935,,830,7,Y47,collar not working?,834,7,
Y701,Criollo,42141,90000549,668,4,,,42141,590,4,,,40437,,856,7,Y48,,786,7,
Y34,Criollo,42820,,826,5,80332,,42820,732,4,,,40922,,922,7,Y49,,944,7,
Y05,Criollo,,,,,80350,,,,,replaced Lotek,40098,40306,,960,7,Y50,,928,7,
R4,Angus,40355,,1020,5,,,40355,978,5,,,39922,90003820,1500,7,Y76,,1295,7,
B102,Angus,42268,90001423,1245,5,80343,,42268,1090,5,,,40179,,1305,7,Y77,,,,
G9,Angus,40654,90004934,1015,5,,,40654,972,4,,,42027,,940,7,Y78,,1100,7,
Y38,Criollo,40395,90000099,796,5,80349,,40395,754,5,,,40300,,804,Y,Y79,,804,7,
,Criollo,40151,,625,5,,"new from Jornada, red coat, has calf",39943,616,4,"new from Jornada, red coat, has calf",,45089,,746,7,Y80,,728,7,
Y30,Criollo,42668,,694,4,,,42668,668,4,,,40249,,762,7,Y81,,716,7,
R3,Angus,40096,90000050,996,5,,,40096,1005,5,,,39917,,1155,7,Y82,,1135,7,
R30,Angus,42115,,1125,4,,,42115,1050,4,,,42705,,1335,7,Y83,,1320,7,
R13,Angus,44663,90003390,1150,5,80341,,44663,,,,,40125,,1180,7,Y84,,1160,7,
R31,Angus,42292,,1150,4,,,42292,960,4,,42177,39907,,1155,7,Y85,,1230,7,
R17,Angus,,,,,80346,,,,,replaced Lotek,40033,45523,,1325,7,Y86,collar maybe died?,1275,7,
Y99,Angus,45221,,900,5,,,45221,994,4,,,47498,,1445,7,Y87,,1400,7,
Y113,Criollo,40176,90002374,746,4,,,40176,744,4,,,44856,,890,7,Y88,,854,7,
G5,Angus,39904,90001217,1125,5,80334,,39904,1010,4,,,,,,,,,,,
P16,Angus,,,,,80333,,,,,replaced Lotek,39972,,,,,,,,,
R16,Angus,40649,,1100,5,,,40649,1130,5,,39953,40209,,1175,7,,,1195,7,
R18,Angus,42544,90000557,1100,5,,,42544,948,4,,,,,,,,,,,
W01,Criollo,41906,,660,6,,new from Jornada,41906,752,4,new from Jornada,,,,,,,,,,
Y17,Criollo,42122,9001464,645,5,,new from Jornada,42122,716,5,new from Jornada,,,,,,,,,,
