tag_no,breed,collar,pedometer,weight,BCS,grab sample,old_collar,notes,Jun14Replacement
B,Criollo,42357,,598,4,y,80339,,
B102,Angus,42268,,1090,5,y,80343,,
G1,Angus,42358,,1005,4,y,,,
G5,Angus,39904,,1010,4,y,80334,,
G9,Angus,40654,,972,4,y,,,
R13,Angus,44663,,,,y,80341,,
R16,Angus,40649,,1130,5,y,,,39953
R18,Angus,42544,,948,4,y,,,
R21,Angus,42125,,856,4,y,,,
R213,Angus,39988,,850,4,y,,,40203
R23,Angus,42119,,1175,4,y,80335,,45141
R256,Angus,42824,,1075,4,y,,,
R3,Angus,40096,,1005,5,y,,,
R30,Angus,42115,,1050,4,y,,,
R31,Angus,42292,,960,4,y,,,42177
R32,Angus,42154,,1200,4,y,,,
R4,Angus,40355,,978,5,y,,,
R46,Angus,42106,,1125,4,y,,,39971
R5,Angus,40546,,1010,5,y,80345,,
R9,Angus,42265,,1205,4,y,80337,,
W01,Criollo,41906,,752,4,y,,new from Jornada,
Y113,Criollo,40176,,744,4,y,,,
Y115,Criollo,42676,,610,5,y,,,
Y148,Criollo,40447,,700,4,y,,,
Y153,Criollo,42291,,582,4,y,,,
Y17,Criollo,42122,,716,5,y,,new from Jornada,
Y30,Criollo,40061,,714,4,y,,new from Jornada,39945
Y30,Criollo,42668,,668,4,y,,,
Y34,Criollo,42820,,732,4,y,80332,,
Y38,Criollo,40395,,754,5,y,80349,,
Y4,Criollo,40008,,672,5,y,,,
Y43,Criollo,42508,,758,4,y,80348,,
Y45,Criollo,40107,,686,4,y,,,
Y68,Criollo,40653,,568,4,y,,new from Jornada,
Y701,Criollo,42141,,590,4,y,,,
Y703,Criollo,42205,,688,5,y,,,
Y82,Criollo,42087,,718,4,y,80338,,
Y99,Angus,45221,,994,4,y,,,
,Criollo,39943,,616,4,y,40151,"new from Jornada, red coat, has calf",
Y103,Criollo,42692,,752,4,,80347,,
Y05,Criollo,,,,,,80350,replaced Lotek,40098
P16,Angus,,,,,,80333,replaced Lotek,39972
R17,Angus,,,,,,80346,replaced Lotek,40033
Y148,Criollo,,,,,,80342,replaced Lotek,40147
