tag_no,breed,collar,pedometer,weight,BCS,grab sample,old_collar,notes
G5,Angus,39904,90001217,1125,5,y,80334,
R213,Angus,39988,,842,5,y,,
4,Criollo,40008,90001737,648,5,y,,
Y30-jornada,Criollo,40061,9001761,655,5,y,,new from Jornada
R3,Angus,40096,90000050,996,5,y,,
Y45,Criollo,40107,90004935,760,5,y,,
none,Criollo,40151,,625,5,y,,"new from Jornada, red coat, has calf"
Y113,Criollo,40176,90002374,746,4,y,,
R4,Angus,40355,,1020,5,y,,
Y38,Criollo,40395,90000099,796,5,y,80349,
Y148,Criollo,40447,,728,5,y,,
R5,Angus,40546,90009326,1015,4,y,80345,
R16,Angus,40649,,1100,5,y,,
Y68,Criollo,40653,,585,4,y,,new from Jornada
G9,Angus,40654,90004934,1015,5,y,,
W01,Criollo,41906,,660,6,y,,new from Jornada
Y82,Criollo,42087,90001653,744,5,y,80338,
R46,Angus,42106,,996,5,y,,
R30,Angus,42115,,1125,4,y,,
R23,Angus,42119,90000188,1250,5,y,80335,
Y17,Criollo,42122,9001464,645,5,y,,new from Jornada
R21,Angus,42125,,1100,5,y,,
Y701,Criollo,42141,90000549,668,4,y,,
R32,Angus,42154,90003820,1215,4,y,,
Y703,Criollo,42205,90006464,712,4,y,,
R9,Angus,42265,90000468,1235,4,y,80337,
B102,Angus,42268,90001423,1245,5,y,80343,
153,Criollo,42291,,618,5,y,,
R31,Angus,42292,,1150,4,y,,
B,Criollo,42357,90001409,608,4,y,80339,
G1,Angus,42358,90002578,1150,5,y,,
Y43,Criollo,42508,,772,5,y,80348,
R18,Angus,42544,90000557,1100,5,y,,
Y30,Criollo,42668,,694,4,y,,
Y115,Criollo,42676,90001161,632,5,y,,
Y34,Criollo,42820,,826,5,y,80332,
R256,Angus,42824,,1100,5,y,,
R13,Angus,44663,90003390,1150,5,y,80341,
Y99,Angus,45221,,900,5,y,,
