tag_no,new_tag,breed,date,collar_id,ped_id,weight,BCS,old_lotek_collar,notes
Y703,Y26,Criollo,3/15/2022,42205,90006464,712,4,,
Y153,Y27,Criollo,3/15/2022,42291,,618,5,,
B,Y28,Criollo,3/15/2022,42357,90001409,608,4,80339,
Y4,Y29,Criollo,3/15/2022,40008,90001737,648,5,,
Y30,Y30,Criollo,3/15/2022,40061,9001761,655,5,,new from Jornada
Y82,Y31,Criollo,3/15/2022,42087,90001653,744,5,80338,
R46,Y32,Angus,3/15/2022,42106,,996,5,,
R9,Y33,Angus,3/15/2022,42265,90000468,1235,4,80337,
R32,Y34,Angus,3/15/2022,42154,90003820,1215,4,,
Y43,Y35,Criollo,3/15/2022,42508,,772,5,80348,
Y148,Y36,Criollo,3/15/2022,40447,,728,5,,
R256,Y37,Angus,3/15/2022,42824,,1100,5,,
R23,Y38,Angus,3/15/2022,42119,90000188,1250,5,80335,
Y45,Y39,Criollo,3/15/2022,40107,90004935,760,5,,
R213,Y40,Angus,3/15/2022,39988,,842,5,,
Y115,Y41,Criollo,3/15/2022,42676,90001161,632,5,,
R5,Y42,Angus,3/15/2022,40546,90009326,1015,4,80345,
Y68,Y43,Criollo,3/15/2022,40653,,585,4,,new from Jornada
Y148,Y44,Criollo,3/15/2022,,,,,80342,
R21,Y45,Angus,3/15/2022,42125,,1100,5,,
G1,Y46,Angus,3/15/2022,42358,90002578,1150,5,,
Y103,Y47,Criollo,3/15/2022,,,,,80347,
Y701,Y48,Criollo,3/15/2022,42141,90000549,668,4,,
Y34,Y49,Criollo,3/15/2022,42820,,826,5,80332,
Y05,Y50,Criollo,3/15/2022,,,,,80350,
R4,Y76,Angus,3/15/2022,40355,,1020,5,,
B102,Y77,Angus,3/15/2022,42268,90001423,1245,5,80343,
G9,Y78,Angus,3/15/2022,40654,90004934,1015,5,,
Y38,Y79,Criollo,3/15/2022,40395,90000099,796,5,80349,
,Y80,Criollo,3/15/2022,40151,,625,5,,"new from Jornada, red coat, has calf"
Y30,Y81,Criollo,3/15/2022,42668,,694,4,,
R3,Y82,Angus,3/15/2022,40096,90000050,996,5,,
R30,Y83,Angus,3/15/2022,42115,,1125,4,,
R13,Y84,Angus,3/15/2022,44663,90003390,1150,5,80341,
R31,Y85,Angus,3/15/2022,42292,,1150,4,,
R17,Y86,Angus,3/15/2022,,,,,80346,
Y99,Y87,Angus,3/15/2022,45221,,900,5,,
Y113,Y88,Criollo,3/15/2022,40176,90002374,746,4,,
G5,,Angus,3/15/2022,39904,90001217,1125,5,80334,
P16,,Angus,3/15/2022,,,,,80333,
R16,,Angus,3/15/2022,40649,,1100,5,,
R18,,Angus,3/15/2022,42544,90000557,1100,5,,
