tag no,breed,collar no,deployment_start,deployment_end,download_start,download_end,dates needed
G5,angus,80334,11/9/2021,3/15/2022,11/9/2021,3/28/2022,none
P16,angus,80333,11/9/2021,6/14/2022,11/9/2021,5/10/2021,none
Y28,criollo,80339,11/9/2021,3/15/2022,11/9/2021,3/9/2022,none
Y31,criollo,80338,11/9/2021,3/15/2022,11/9/2021,3/28/2022,none
Y33,angus,80337,11/9/2021,3/15/2022,11/9/2021,3/28/2022,none
Y35,criollo,80348,11/9/2021,3/15/2022,11/9/2021,3/26/2022,none
Y38,angus,80335,11/9/2021,3/15/2022,11/9/2021,2/20/2022,none
Y42,angus,80345,11/9/2021,3/15/2022,11/9/2021,3/28/2022,none
Y44,criollo,80342,11/9/2021,6/14/2022,11/9/2021,11/11/2021,none
Y47,criollo,80347,11/9/2021,4/7/2022,11/9/2021,1/4/2022,none
Y49,criollo,80332,11/9/2021,3/15/2022,11/9/2021,11/17/2021,none
Y50,criollo,80350,11/9/2021,6/14/2022,11/8/2021,11/10/2021,none
Y77,angus,80343,11/9/2021,3/15/2022,11/9/2021,3/28/2022,none
Y79,criollo,80349,11/9/2021,3/15/2022,11/9/2021,3/28/2022,none
Y84,angus,80341,11/9/2021,3/15/2022,11/9/2021,1/29/2022,none
Y86,angus,80346,11/9/2021,6/14/2022,11/9/2021,4/21/2022,none
G5,angus,39904,3/15/2022,,3/15/2022,10/21/2022,none
R16,angus,40649,3/15/2022,6/14/2022,3/15/2022,6/13/2022,none
R18,angus,42544,3/15/2022,10/29/2022,3/15/2022,10/31/2022,none
W01,criollo,41906,3/15/2022,,3/15/2022,8/17/2022,none
Y17,criollo,42122,3/15/2022,,3/15/2022,5/27/2022,none
Y26,criollo,42205,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y27,criollo,42291,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y28,criollo,42357,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y29,criollo,40008,3/15/2022,10/29/2022,3/15/2022,9/16/2022,none
Y30,criollo,40061,3/15/2022,10/29/2022,3/15/2022,4/15/2022,none
Y31,criollo,42087,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y32,angus,42106,3/15/2022,6/14/2022,3/15/2022,4/19/2022,none
Y33,angus,42265,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y34,angus,42154,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y35,criollo,42508,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y36,criollo,40447,3/15/2022,10/29/2022,3/15/2022,10/30/2022,none
Y37,angus,42824,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y38,angus,42119,3/15/2022,6/14/2022,3/15/2022,4/21/2022,none
Y39,criollo,40107,3/15/2022,10/29/2022,3/15/2022,10/14/2022,none
Y40,angus,39988,3/15/2022,6/14/2022,3/15/2022,5/24/2022,none
Y41,criollo,42676,3/15/2022,10/29/2022,3/15/2022,7/10/2022,none
Y42,angus,40546,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y43,criollo,40653,3/15/2022,10/29/2022,3/15/2022,7/18/2022,none
Y45,angus,42125,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y46,angus,42358,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y48,criollo,42141,3/15/2022,10/29/2022,3/15/2022,7/23/2022,none
Y49,criollo,42820,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y76,angus,40355,3/15/2022,10/29/2022,3/15/2022,9/22/2022,none
Y77,angus,42268,3/15/2022,10/29/2022,3/15/2022,4/9/2022,none
Y78,angus,40654,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y79,criollo,40395,3/15/2022,10/29/2022,3/15/2022,10/30/2022,none
Y80,criollo,40151,3/15/2022,4/7/2022,3/15/2022,3/24/2022,none
Y81,criollo,42668,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y82,angus,40096,3/15/2022,10/29/2022,3/15/2022,10/30/2022,none
Y83,angus,42115,3/15/2022,10/29/2022,3/15/2022,10/25/2022,none
Y84,angus,44663,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y85,angus,42292,3/15/2022,6/14/2022,3/15/2022,5/19/2022,none
Y87,angus,45221,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y88,criollo,40176,3/15/2022,10/29/2022,3/15/2022,10/29/2022,none
Y47,criollo,42692,4/7/2022,10/29/2022,4/7/2022,10/28/2022,none
Y80,criollo,39943,4/7/2022,10/29/2022,,,
P16,angus,39972,6/14/2022,,6/14/2022,10/30/2022,none
R16,angus,39953,6/14/2022,10/29/2022,6/14/2022,10/30/2022,none
Y32,angus,39971,6/14/2022,10/29/2022,6/14/2022,10/30/2022,none
Y38,angus,45141,6/14/2022,10/29/2022,6/14/2022,10/30/2022,none
Y40,angus,40203,6/14/2022,10/29/2022,6/14/2022,10/30/2022,none
Y44,criollo,40147,6/14/2022,10/29/2022,6/14/2022,10/29/2022,none
Y50,criollo,40098,6/14/2022,10/29/2022,6/14/2022,10/29/2022,none
Y85,angus,42177,6/14/2022,10/29/2022,6/14/2022,10/30/2022,none
Y86,angus,40033,6/14/2022,10/29/2022,6/14/2022,10/29/2022,none
R16,angus,40209,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y26,criollo,80335,10/29/2022,3/27/2023,10/30/2022,3/27/2023,
Y27,criollo,80345,10/29/2022,3/27/2023,10/30/2022,3/27/2023,
Y28,criollo,80333,10/29/2022,3/27/2023,NA,NA,no data
Y29,criollo,80342,10/29/2022,3/27/2023,10/30/2022,3/11/2023,
Y30,criollo,80351,10/29/2022,3/27/2023,NA,NA,no data
Y31,criollo,80337,10/29/2022,,10/30/2022,,
Y32,angus,80347,10/29/2022,3/27/2023,NA,NA,no data
Y33,angus,80338,10/29/2022,3/27/2023,10/30/2022,10/31/2022,
Y34,angus,80346,10/29/2022,3/27/2023,10/30/2022,11/18/2023,
Y35,criollo,80334,10/29/2022,3/27/2023,10/30/2022,3/27/2023,
Y36,criollo,80348,10/29/2022,3/27/2023,NA,NA,no data
Y37,angus,80344,10/29/2022,3/27/2023,10/30/2022,2/12/2023,
Y38,angus,80339,10/29/2022,3/27/2023,NA,NA,no data
Y39,criollo,80349,10/29/2022,3/27/2023,NA,NA,no data
Y40,angus,80332,10/29/2022,3/27/2023,NA,NA,no data
Y41,criollo,51000,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y42,angus,80341,10/29/2022,3/27/2023,10/30/2022,1/9/2023,bad data
Y43,criollo,40367,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y44,criollo,42755,10/29/2022,3/27/2023,10/30/2022,1/18/2023,
Y45,angus,80350,10/29/2022,3/27/2023,10/30/2022,3/27/2023,
Y46,angus,80343,10/29/2022,3/27/2023,10/30/2022,3/27/2023,
Y47,criollo,39935,10/29/2022,3/27/2023,10/30/2022,,
Y48,criollo,40437,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y49,criollo,40922,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y50,criollo,40306,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y76,angus,39922,10/29/2022,3/27/2023,10/30/2022,2/4/2023,
Y77,angus,40179,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y78,angus,42027,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y79,criollo,40300,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y80,criollo,45089,10/29/2022,,,,
Y81,criollo,40249,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y82,angus,39917,10/29/2022,3/27/2023,10/30/2022,,
Y83,angus,42705,10/29/2022,3/27/2023,10/30/2022,3/3/2023,
Y84,angus,40125,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y85,angus,39907,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y86,angus,45523,10/29/2022,3/27/2023,10/30/2022,12/19/2022,
Y87,angus,47498,10/29/2022,3/27/2023,10/30/2022,3/28/2023,
Y88,criollo,44856,10/29/2022,3/27/2023,10/30/2022,1/18/2023,
Y41,Criollo,45704,3/17/2023,,3/27/2023,,
Y79,Criollo,42674,3/17/2023,,3/27/2023,,
Y82,Angus,39932,3/17/2023,,3/27/2023,,
R16,Angus,45691,3/27/2023,,3/27/2023,,
Y26,Criollo,42180,3/27/2023,,3/27/2023,,
Y27,Criollo,45065,3/27/2023,,3/27/2023,,
Y28,Criollo,42713,3/27/2023,,3/27/2023,,
Y29,Criollo,42559,3/27/2023,,3/27/2023,,
Y30,Criollo,42156,3/27/2023,,3/27/2023,,
Y32,Angus,42160,3/27/2023,,3/27/2023,,
Y33,Angus,39956,3/27/2023,,3/27/2023,,
Y34,Angus,42855,3/27/2023,,3/27/2023,,
Y35,Criollo,44746,3/27/2023,,3/27/2023,,
Y36,Criollo,42360,3/27/2023,,3/27/2023,,
Y37,Angus,,3/27/2023,,3/27/2023,,
Y38,Angus,40122,3/27/2023,,3/27/2023,,
Y39,Criollo,,3/27/2023,,3/27/2023,,
Y40,Angus,45926,3/27/2023,,3/27/2023,,
Y42,Angus,44637,3/27/2023,,3/27/2023,,
Y43,Criollo,45132,3/27/2023,,3/27/2023,,
Y44,Criollo,45032,3/27/2023,,3/27/2023,,
Y45,Angus,46043,3/27/2023,,3/27/2023,,
Y46,Angus,42368,3/27/2023,,3/27/2023,,
Y47,Criollo,45229,3/27/2023,,3/27/2023,,
