Collection_Date,Processing_Date,Breed,Tag,New_Tag,Collar_Apr22,Tube,Notes
3/16/2022,3/28/2022,Angus,R4,,40355,S042052,
3/16/2022,3/28/2022,Angus,R23,,42119,S042053,
3/16/2022,3/28/2022,Angus,R256,,42824,S042054,
4/7/2022,4/11/2022,Criollo,Y34,,,S042055,
4/7/2022,4/11/2022,Angus,G1,,,S042056,
4/7/2022,4/11/2022,Criollo,Y115,,,S042057,
4/7/2022,4/11/2022,Criollo,Y701,,,S042058,
10/29/2022,11/3/2022,,R46,Y32,,S042059,
10/29/2022,11/3/2022,,Y14,Y44,,S042060,small sample
10/29/2022,11/3/2022,,Y68,Y43,,S042061,
3/16/2022,3/28/2022,Criollo,Y43,,42508,S042062,
3/16/2022,3/28/2022,Angus,G9,,40654,S042063,
3/16/2022,3/28/2022,Criollo,Y703,,42205,S042064,
3/16/2022,3/29/2022,Angus,R31,,42292,S042065,
4/7/2022,4/11/2022,Angus,R213,,,S042066,
4/7/2022,4/11/2022,Angus,Y99,,,S042067,
4/7/2022,4/11/2022,Angus,G9,,,S042068,
10/29/2022,11/3/2022,,G1,Y46,,S042069,
10/29/2022,11/3/2022,,R13,Y84,,S042070,
10/29/2022,11/3/2022,,P17,Y86,,S042071,
3/16/2022,3/28/2022,Angus,G1,,42358,S042072,
3/16/2022,3/28/2022,Angus,Y99,,45221,S042073,
3/16/2022,3/28/2022,Criollo,none,,40151,S042074,
3/16/2022,3/29/2022,Criollo,Y153,,42291,S042075,
4/7/2022,4/11/2022,Angus,R3,,,S042076,
4/7/2022,4/11/2022,Criollo,Y45,,,S042077,
4/7/2022,4/11/2022,Criollo,none,,,S042078,
10/29/2022,11/3/2022,,R256,Y37,,S042079,
10/29/2022,11/3/2022,,Y34,Y49,,S042080,
10/29/2022,11/3/2022,,R32,Y34,,S042081,
3/16/2022,3/28/2022,Criollo,Y115,,42676,S042082,
3/16/2022,3/28/2022,Angus,G5,,39904,S042083,
3/16/2022,3/28/2022,Angus,R18,,42544,S042084,
3/16/2022,3/29/2022,Angus,R3,,40096,S042085,
