old_tag,new_tag,breed
B,Y28,criollo
G1,Y46,angus
G5,,angus
G9,Y78,angus
P16,,angus
R256,Y37,angus
R13,Y84,angus
R16,,angus
R17,Y86,angus
R18,,angus
R21,Y45,angus
R213,Y40,angus
R23,Y38,angus
R3,Y82,angus
R30,Y83,angus
R31,Y85,angus
R32,Y34,angus
R4,Y76,angus
R46,Y32,angus
R5,Y42,angus
R9,Y33,angus
W01,,criollo
Y113,Y88,criollo
Y115,Y41,criollo
Y14,Y44,criollo
Y148,Y36,criollo
Y153,Y27,criollo
Y17,,criollo
Y30,Y81,criollo
Y30-J,Y30,criollo
Y34,Y49,criollo
Y38,Y79,criollo
Y4,Y29,criollo
Y43,Y35,criollo
Y45,Y39,criollo
Y5,Y50,criollo
Y68,Y43,criollo
Y701,Y48,criollo
Y703,Y26,criollo
Y713,Y47,criollo
Y82,Y31,criollo
Y99,Y87,angus
,Y77,angus
,Y80,criollo
B102,,angus
Y103,,criollo
Y14,,criollo
R40,,angus
